owner_acronym,source_year,total_entries,total_contracts,total_amendments
cfia,2012,1,1,0
cra,2008,3,3,0
cra,2009,3,3,0
dfo,2010,5,5,0
dfo,2011,1,1,0
dfo,2013,2,2,0
dfo,2014,4,3,1
dfo,2016,1,1,0
dnd,2009,2,2,0
dnd,2010,3,1,2
dnd,2011,205,205,0
dnd,2012,44,44,0
dnd,2013,7,7,0
dnd,2014,33,33,0
dnd,2015,62,61,1
dnd,2016,16,16,0
dnd,2017,1,1,0
ic,2008,3,3,0
ic,2009,1,1,0
ic,2010,5,5,0
ic,2011,3,2,1
ic,2013,1,1,0
ic,2015,1,1,0
nrc,2009,1,1,0
nrc,2010,1,1,0
nrc,2011,2,2,0
nrc,2012,4,4,0
nrc,2013,5,4,1
nrc,2014,1,1,0
nrc,2015,3,3,0
rcmp,2008,19,19,0
rcmp,2009,9,9,0
rcmp,2010,19,18,1
rcmp,2011,14,14,0
rcmp,2012,14,14,0
rcmp,2013,2,2,0
stats,2012,2,2,0
