owner_acronym,source_year,total_entries,total_contracts,total_amendments
csa,2010,1,1,0
csa,2011,1,1,0
csa,2014,1,1,0
csa,2016,2,2,0
dfo,2010,8,6,2
dfo,2011,6,5,1
dfo,2012,4,3,1
dfo,2013,2,2,0
dfo,2014,5,3,2
dfo,2015,6,6,0
dfo,2016,14,7,7
dfo,2017,15,13,2
dnd,2008,2,2,0
dnd,2009,17,14,3
dnd,2010,4,4,0
dnd,2011,16,12,4
dnd,2012,5,5,0
dnd,2013,4,4,0
dnd,2014,1,1,0
dnd,2015,11,11,0
dnd,2016,9,9,0
dnd,2017,11,6,5
ec,2008,2,2,0
ec,2009,5,5,0
ec,2010,2,2,0
ec,2011,3,3,0
ec,2012,1,1,0
ec,2013,1,1,0
ec,2017,1,1,0
gac,2011,1,1,0
ijc,2017,1,1,0
inac,2013,1,1,0
inac,2014,4,3,1
inac,2015,2,1,1
inac,2016,2,2,0
nrc,2009,1,1,0
nrc,2010,1,1,0
nrc,2016,2,2,0
nrc,2017,2,1,1
nrcan,2011,1,1,0
nrcan,2015,3,3,0
nrcan,2016,1,0,1
pc,2008,1,1,0
pc,2009,6,6,0
pc,2010,4,4,0
pc,2011,1,1,0
pc,2012,4,4,0
pc,2013,3,3,0
pc,2014,1,0,1
pc,2015,32,27,5
pc,2016,35,17,18
pc,2017,27,14,13
pch,2014,1,1,0
pch,2016,1,1,0
pspc,2008,32,31,1
pspc,2009,32,31,1
pspc,2010,57,55,2
pspc,2011,58,44,14
pspc,2012,58,27,31
pspc,2013,28,11,17
pspc,2014,16,7,9
pspc,2015,35,21,14
pspc,2016,42,20,22
pspc,2017,47,24,23
rcmp,2009,3,3,0
rcmp,2010,4,3,1
rcmp,2011,2,2,0
rcmp,2014,2,2,0
rcmp,2015,1,1,0
rcmp,2017,3,3,0
tc,2011,2,2,0
tc,2012,1,1,0
tc,2013,2,2,0
tc,2014,1,1,0
tc,2015,1,1,0
tc,2016,2,2,0
tc,2017,5,5,0
