owner_acronym,sum_effective_value
tbs,22210134.64
cbsa,14935578.01
pspc,14933358.16
esdc,11977229.06
dnd,10096430.10
ic,9819075.80
gac,6771520.03
tc,6045668.10
cra,5344596.57
ssc,4682893.41
cc,4427597.72
pch,4175785.26
inac,3991276.60
dfo,2884612.00
agr,2608588.72
infra,2519965.28
nrcan,2299421.22
ec,1875684.43
hc,1608860.11
just,1353744.37
nrc,1074133.47
ircc,1064645.57
cnsc,910425.45
ps,901646.45
stats,849882.39
phac,825156.77
pc,678595.11
feddev,668191.80
csa,605040.40
pco,599863.06
oag,559340.44
fin,491645.02
acoa,489882.49
rcmp,484838.77
psc,416403.20
osfi,387918.33
fja,378306.21
fcac,312820.92
cihr,305100.00
cfia,303286.50
ced,113132.25
vac,33515.54
cas,25000.00
elections,24771.36
fintrac,19888.00
