owner_acronym,total_entries,total_contracts,total_amendments
cbsa,79,66,13
pspc,73,63,10
ic,72,55,17
pch,64,53,11
cra,62,36,26
gac,59,54,5
esdc,56,54,2
tbs,40,35,5
dnd,35,23,12
inac,33,25,8
agr,30,19,11
ssc,27,18,9
nrc,27,19,8
nrcan,26,21,5
cc,26,26,0
hc,22,19,3
phac,21,18,3
feddev,20,13,7
ec,20,18,2
oag,18,17,1
ps,18,18,0
dfo,17,15,2
just,16,15,1
cnsc,15,15,0
fja,13,13,0
tc,12,7,5
ircc,10,8,2
fcac,10,10,0
rcmp,10,8,2
infra,10,7,3
acoa,10,10,0
pc,9,8,1
csa,8,8,0
cfia,8,8,0
stats,8,8,0
psc,7,7,0
fin,7,7,0
pco,6,6,0
osfi,6,4,2
ced,4,3,1
cihr,4,2,2
lac,2,2,0
elections,2,2,0
fintrac,1,1,0
vac,1,1,0
cas,1,1,0
psic,1,1,0
