source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2009,59,42,17,731996.00,968529.00
2010,74,46,28,835414.00,1203997.00
2011,93,64,29,1107321.00,1475568.00
2012,109,79,30,1351961.00,1262545.00
2013,88,73,15,1217765.00,724833.00
2014,72,58,14,966630.00,592451.00
2015,43,30,13,514712.42,500484.05
2016,12,9,3,129663.34,135001.10
2017,47,32,15,520122.79,732330.24
