gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,138,101,37
XEROX,126,122,4
EMERION,72,49,23
DELOITTE AND TOUCHE,64,53,11
MAPLESOFT CONSULTING,60,27,33
ASOKAN BUSINESS INTERIORS ASOKAN SOLUTIONS DE BUREAU,58,58,0
SAMSON & ASSOCIATES,57,49,8
NORTHERN MICRO,51,50,1
NISHA TECHONOLOGIES,46,46,0
SOFTCHOICE,45,41,4
IBISKA TELECOM,42,28,14
ALTIS HUMAN RESOURCES,40,32,8
ITEX,30,29,1
COMPOSITION SAINTE-FOY,29,21,8
BELL CANADA,27,20,7
COSSETTE COMMUNICATIONS,27,22,5
FOXRED CONSULTING,26,14,12
GENESIS INTEGRATION,25,25,0
CANADIAN CORPS OF COMMISSIONAIRES,23,20,3
ST JOSEPH PRINT GROUP,23,16,7
RAYMOND CHABOT GRANT THORNTON,22,20,2
ARTEMP PERSONNEL SERVICES,22,21,1
TRADUCTIONS HOULE,22,18,4
DALIAN ENTERPRISES,22,21,1
WALL SOUND AND LIGHTING,20,20,0
EBSCO CANADA,19,15,4
PROJECT X PRODUCTIONS,19,15,4
OPTIMA COMMUNICATION,19,16,3
BDO CANADA,19,11,8
CALIAN,19,15,4
COTTON CANDY MISSISSAUGA,18,18,0
COPEM CONSULTING,18,14,4
KELLY SEARS CONSULTING GROUP,17,15,2
MAXSYS ABORIGINAL SERVICES,16,15,1
MARCIL LAVALLA?E,16,16,0
SIGN SOURCE,16,16,0
CLOSEREACH,16,13,3
PROCOM CONSULTANTS,16,7,9
1302015 ONTARIO,16,12,4
INTEGRA NETWORK CORPORATION,16,16,0
IRON HORSE SECURITY,15,15,0
STATEL CAPITAL TECHNOLOGY PARTNERS,15,2,13
PERSONNEL OUTAOUAIS,15,14,1
PRA,15,11,4
MISHKUMI TECHNOLOGIES,15,15,0
CBCI TELECOM,15,15,0
IBM CANADA,14,10,4
EKOS RESEARCH ASSOCIATES,14,13,1
ZENTRA,14,14,0
IMPACT AUDIO VISUEL,14,14,0
SOLOTECH,13,13,0
COMMUNICATION IN EXTENSO,13,11,2
MAXSYS STAFFING AND CONSULTING,13,13,0
BROOKFIELD ASSET MANAGEMENT,13,13,0
GOSS GILROY,13,11,2
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER,13,8,5
IT/NET CONSULTANTS,13,10,3
ERNST & YOUNG,13,13,0
SYSTEMATIX SOLUTIONS,13,10,3
SAP,12,6,6
EMTEC INFRASTRUCTURE SERVICES,12,9,3
WORK DYNAMICS TECHNOLOGIES,12,10,2
RENTRAK CORPORATION,12,8,4
THE POLLACK GROUP,12,11,1
ROGERS,12,12,0
NIELSEN MEDIA RESEARCH,12,8,4
HAWORTH,11,11,0
NORDICITY GROUP,11,10,1
GROUPE CONSEIL BAASTEL LTA C E LE,11,10,1
QUANTUM MANAGEMENT SERVICES,11,11,0
ESRI,11,11,0
MEDIA Q,11,9,2
1329481 ONTARIO,10,9,1
COMSCORE CANADA,10,5,5
LAFLEUR DE LA CAPITALE,10,3,7
GARTNER,10,10,0
THE AIM GROUP,10,9,1
BARBARA PERSONNEL,10,10,0
ENTREPRISE DE COMMUNICATIONS TANK,10,3,7
INFOR GLOBAL SOLUTIONS,10,2,8
AON REED STENHOUSE,10,9,1
119155 CANADA,10,10,0
CANON,9,7,2
ORBIS CONSULTING,9,9,0
OPENTEXT,9,8,1
DYNAMIC PERSONNEL,9,6,3
LOWE-MARTIN COMPANY,9,5,4
FLYING COLOURS INTERNATIONAL,9,7,2
TOBERMORY PRESS,9,8,1
VERITAAQ TECHNOLOGY HOUSE,9,5,4
CEDROM-SNI,9,9,0
SYSTEMSCOPE,9,7,2
THE HERJAVEC GROUP,9,9,0
EDINOVA,8,2,6
MATRA GS,8,6,2
ECONOME,8,8,0
LOCATION D OUTILS SIMPLEX S E C,8,8,0
PLEIAD CANADA,8,8,0
KPMG,8,2,6
LABELLE TENTS,8,8,0
