owner_acronym,sum_effective_value
dnd,77783155.22
cra,52402235.77
ic,15208070.00
cbsa,12775182.17
esdc,10454508.29
hc,6412404.58
ircc,6051223.40
csc,5785848.60
rcmp,5616437.00
just,5038255.17
ssc,4142221.61
pspc,4083227.07
tbs,3018930.97
phac,2892082.56
gac,1911894.00
lac,1880827.18
psc,1331241.00
elections,1187349.46
cnsc,1129194.17
ec,759565.00
ps,578583.18
nrc,499245.00
dfo,393769.60
vac,294992.20
chrc,283323.22
pptc,232837.50
ppsc,231198.00
neb,180951.00
pc,180257.80
cta,140925.79
cfia,139634.10
stats,130547.20
csps,108480.00
fin,22600.00
pco,18306.00
tc,16934.40
