owner_acronym,sum_effective_value
dnd,77405056.20
rcmp,35352239.13
esdc,34179197.88
ssc,13017487.77
stats,11055841.41
gac,9433301.87
ec,7894466.50
ircc,7228273.38
nrc,6799369.87
dfo,6223982.46
pspc,5903165.43
ps,5882506.89
csa,4873631.11
cbsa,4725069.31
just,4168187.99
vac,3550448.94
pco,3348286.43
nrcan,3333077.91
cfia,2885879.04
pch,2672752.75
hc,2059654.13
cnsc,1806247.67
tc,1709025.22
cra,1604257.68
phac,1383609.46
ic,1313548.96
agr,1014785.95
csc,1001054.68
fcac,998332.40
pc,890023.93
tbs,863587.19
osfi,722068.12
infra,718581.50
fin,566022.83
inac,434458.05
fja,361072.61
acoa,295275.81
ppsc,217880.20
ced,204792.27
feddev,200480.53
ocol,165934.16
neb,157452.65
atssc,141452.28
oag,139730.15
csps,135953.47
vrab,98400.00
cihr,97235.00
lac,67336.16
sirc,67029.00
pptc,62123.20
chrc,36765.91
psic,25525.04
cta,20486.71
