owner_acronym,total_entries,total_contracts,total_amendments
dnd,539,521,18
rcmp,421,404,17
nrc,171,164,7
csa,119,119,0
ec,118,110,8
ps,108,104,4
pspc,102,95,7
dfo,88,78,10
nrcan,82,75,7
ssc,75,53,22
hc,59,54,5
just,57,56,1
ircc,57,55,2
cra,55,21,34
phac,55,52,3
pco,50,49,1
pch,46,46,0
vac,46,43,3
cnsc,43,37,6
gac,41,40,1
pc,40,40,0
tc,39,39,0
cbsa,35,34,1
ic,34,34,0
inac,22,22,0
agr,22,22,0
cfia,20,19,1
fja,15,15,0
stats,13,13,0
esdc,11,11,0
acoa,8,8,0
csc,7,7,0
fin,7,7,0
osfi,7,7,0
ocol,6,6,0
infra,6,4,2
feddev,6,4,2
neb,5,5,0
pptc,4,4,0
ced,4,4,0
csps,3,3,0
lac,3,3,0
vrab,3,3,0
oag,2,2,0
tbs,2,2,0
cta,2,2,0
fcac,2,2,0
cihr,2,2,0
sirc,2,2,0
ppsc,2,2,0
oic,1,1,0
ocl,1,1,0
crtc,1,1,0
psic,1,1,0
cpc,1,1,0
chrc,1,1,0
ceaa,1,1,0
atssc,1,1,0
