owner_acronym,sum_effective_value
pspc,38084590.53
ec,12964510.74
esdc,6513664.17
cas,4765000.00
stats,4187249.66
phac,2317653.01
tc,2288250.00
ps,2000000.00
hc,1897291.72
csc,1540379.65
tbs,1374833.34
dfo,785225.66
dnd,723609.60
ceaa,380667.66
fja,298249.00
ic,287069.00
crtc,220272.94
nrc,217876.21
nrcan,190458.69
inac,135043.91
just,108200.00
infra,106694.67
pch,105804.19
atssc,99999.00
cihr,97500.00
ced,83098.14
cfia,50850.00
cra,32155.11
neb,30000.00
pco,18833.33
cbsa,18492.36
tsb,14371.88
gac,11300.00
osfi,11216.95
