owner_acronym,sum_effective_value
pspc,53534996.81
cra,17205494.76
esdc,8358621.85
dnd,4234186.96
gac,3400248.96
ircc,2601553.44
rcmp,2371778.84
infra,1844632.05
ic,1828722.80
phac,1693808.26
stats,1526701.04
hc,1461910.06
ppsc,1093312.56
psc,1076317.00
nrc,995777.78
pco,819094.16
ec,809965.98
cbsa,760894.04
just,701935.96
pptc,504222.93
nrcan,434448.93
pc,403313.04
fintrac,357963.62
ssc,334542.22
dfo,283998.05
acoa,279632.48
tbs,218324.32
agr,217048.46
cihr,173237.00
tc,155679.24
ceaa,125355.84
pch,125353.34
inac,116117.97
cfia,107548.92
csa,106616.14
swc,73965.44
feddev,64143.15
ced,49691.56
fin,45302.67
vac,44991.25
csps,30137.39
elections,28814.09
cnsc,24449.04
