owner_acronym,sum_effective_value
phac,51840998.20
hc,36431259.91
ic,33571119.19
ircc,32634455.19
gac,23965146.30
pspc,23460762.03
dnd,19975679.92
tbs,15957604.29
ec,13869768.82
cra,12336451.98
nrcan,11176224.83
pc,8360443.91
pch,7006528.13
dfo,6584649.68
pptc,6281834.37
nrc,6081671.66
esdc,5108078.90
tc,4640578.99
cnsc,3844149.59
ps,3522758.48
pco,3414324.91
ssc,3007451.09
infra,2334739.65
inac,1882663.95
stats,1871222.11
ppsc,1645075.71
cfia,1579809.24
just,1281243.97
csps,1270053.64
cbsa,1217025.09
fin,1200421.56
lac,1128363.74
nserc,926893.82
elections,916898.03
psc,837587.00
csc,795988.34
fja,733781.79
ceaa,656285.01
rcmp,374616.28
agr,358760.91
osfi,290505.52
csa,215377.96
atssc,201468.67
oic,199801.99
fintrac,180332.15
swc,174496.30
crtc,172890.00
oto,144129.60
cihr,99679.94
cta,85426.78
mgerc,73691.82
fcac,70882.17
ced,56030.00
cc,49496.25
feddev,43460.19
cpc,39618.18
pbc,35550.00
chrc,24731.41
vac,20756.15
acoa,15971.99
sshrc,11294.35
pmprb,9868.21
