gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED BUSINESS INTERIORS,2016,2,2,0
ADWARE PROMOTIONS,2011,1,1,0
ADWARE PROMOTIONS,2012,1,1,0
ADWARE PROMOTIONS,2013,1,1,0
ASOKAN BUSINESS INTERIORS,2010,3,3,0
ASOKAN BUSINESS INTERIORS,2014,1,1,0
ASOKAN BUSINESS INTERIORS,2016,2,2,0
BELL CANADA,2010,1,1,0
BELL CANADA,2011,2,2,0
BELL CANADA,2012,1,1,0
CHRISTINE CROSSMAN CONSULTING,2014,1,1,0
CHRISTINE CROSSMAN CONSULTING,2015,1,1,0
DAVID SWAYZE & ASSOCIATES,2015,1,1,0
DAVID SWAYZE & ASSOCIATES,2016,2,2,0
NORTHERN MICRO,2010,2,2,0
NORTHERN MICRO,2017,1,1,0
NORTHWESTEL,2010,1,1,0
NORTHWESTEL,2011,2,2,0
STRATOS,2015,1,1,0
STRATOS,2017,2,2,0
XEROX,2011,1,1,0
XEROX,2014,1,1,0
XEROX,2016,3,3,0
XEROX,2017,2,2,0
