source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2016,8,6,1,1,94285.00,24860.00,164854.00
2017,14,6,3,5,88773.91,74277.50,353963.80
