gen_vendor_normalized,total_entries,total_contracts,total_amendments
XEROX,7,7,0
ASOKAN BUSINESS INTERIORS,6,6,0
BELL CANADA,4,4,0
ADWARE PROMOTIONS,3,3,0
NORTHWESTEL,3,3,0
NORTHERN MICRO,3,3,0
STRATOS,3,3,0
DAVID SWAYZE & ASSOCIATES,3,3,0
CHRISTINE CROSSMAN CONSULTING,2,2,0
AIR NUNAVUT,2,2,0
THE RIGHT DOOR CONSULTING,2,2,0
PERFORMANCE MANAGEMENT CONSULTANTS,2,2,0
3755479 CANADA,2,2,0
ESRI,2,2,0
PIRURVIK CENTRE,2,2,0
AUGUSTE SOLUTIONS AND ASSOCIATES,2,1,1
PROSEBUSTERS COMMUNICATIONS,2,2,0
QMR,2,2,0
ADVANCED BUSINESS INTERIORS,2,2,0
SPI CONSULTANT DIVISION OF BRICAN,2,2,0
FMC PROFESSIONAL,1,1,0
FOREST COMMUNICATIONS,1,1,0
GLOBAL,1,1,0
IBM CANADA,1,1,0
IDEASIGN,1,1,0
INSTITUTE ON GOVERNANCE,1,1,0
KIVALLIQ AIR,1,1,0
KONICA MINOLTA BUSINESS EQUIPMENT,1,1,0
PERFORMANCE MANAGEMENT NETWORK,1,1,0
PMC PROJECT MANAGEMENT CENTRE,1,1,0
PODIUM PROS,1,1,0
QUANTUM MANAGEMENT SERVICES,1,1,0
R A MALATEST & ASSOCIATES,1,1,0
SANDY OSBORNE CONSULTING,1,1,0
SKYLINE OTTAWA,1,1,0
STANTEC,1,1,0
SUMMIT AIR CHARTERS,1,1,0
TITTAQ OFFICE SUPPLIES,1,1,0
WILMAN JENNIFER,1,1,0
YUKON CHAMBER OF COMMERCE,1,1,0
7265301 CANADA,1,1,0
8231800 CANADA,1,1,0
AARLUK CONSULTING,1,1,0
ADVANCED CHIPPEWA TECHNOLOGIES,1,1,0
AFFINITY PRODUCTIONS,1,1,0
AKHALIAK OFFICE PRODUCTS & SUPPLIES,1,1,0
ARCTIC SUNWEST CHARTERS,1,1,0
ATIIGO MEDIA,1,1,0
BRADLEY AIR SERVICES,1,1,0
BRECKENHILL,1,1,0
CANON,1,1,0
DARE HUMAN RESOURCES,1,1,0
DATA ANGEL POLICY RESEARCH,1,1,0
DELL COMPUTER CORPORATION,1,1,0
DON CUMMER & ASSOCIATES,1,1,0
DPRA CANADA & BLUMETRIC,1,1,0
D T ELECTRIC,1,1,0
ECOLE DE LANGUES DE L ESTRIE,1,1,0
ERNST & YOUNG,1,1,0
