vendor_normalized,effective_year,sum_yearly_value
ADVANCED BUSINESS INTERIORS,2017,17507.00
AIR NUNAVUT,2017,32458.69
AUGUSTE SOLUTIONS AND ASSOCIATES,2016,89927.00
AUGUSTE SOLUTIONS AND ASSOCIATES,2017,89927.00
DAVID SWAYZE ASSOCIATES,2016,12430.00
DAVID SWAYZE ASSOCIATES,2017,12430.00
ERNST YOUNG,2017,32642.88
PIRURVIK CENTRE,2016,11550.00
PIRURVIK CENTRE,2017,11550.00
STRATOS,2017,49550.50
SUMMIT AIR CHARTERS,2017,17764.74
TITTAQ OFFICE SUPPLIES,2017,21182.84
XEROX,2015,8654.39
XEROX,2016,13981.26
XEROX,2017,16116.17
