source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,3705,2496,148,1061,41162168.70,3679108.66,87535838.59
2009,3897,2643,128,1126,44182523.46,3177394.14,110746437.79
2010,3559,2417,116,1026,38055554.08,2890542.65,98159434.30
2011,3460,2434,92,934,38173288.46,2278289.64,87809798.27
2012,3335,2327,119,889,36528586.18,2934861.40,92898985.21
2013,3506,2493,118,895,39074244.33,2935197.29,81927065.81
2014,3111,2169,128,814,33747861.80,3177230.87,88571775.04
2015,2592,1438,289,865,23423369.71,7166654.66,108511695.63
2016,2480,1498,298,684,24534199.43,7396344.39,162830557.03
2017,1795,1023,246,526,17192087.00,6098170.18,71348980.25
