source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,3705,2583,1122,43296917.29,89080198.66
2009,3897,2719,1178,46041978.67,112064376.72
2010,3559,2480,1079,39602601.57,99502929.46
2011,3460,2498,962,39743337.86,88518038.51
2012,3335,2411,924,38578956.27,93783476.52
2013,3506,2573,933,41044745.91,82891761.52
2014,3111,2254,857,35835795.66,89661072.05
2015,2592,1672,920,29196502.33,109905217.67
2016,2480,1744,736,30613293.20,164147807.65
2017,1795,1242,553,22604214.53,72035022.90
