owner_acronym,sum_effective_value
esdc,26782946.25
dnd,19847506.51
nrcan,6179270.17
phac,4607181.70
hc,3639681.43
dfo,1873525.51
ec,1854375.93
csa,966269.00
cnsc,893409.93
elections,711981.67
pch,702867.70
nrc,526300.24
tbs,457480.50
ic,452556.00
just,432855.41
fin,356797.50
rcmp,296029.51
csc,203400.00
gac,200396.17
pspc,177292.80
fintrac,167378.43
cihr,120701.33
ceaa,112050.00
ced,75941.00
cfia,69071.26
ppsc,66675.00
pc,64843.75
fja,25936.00
fcac,25000.00
ocol,24860.00
cc,20250.00
pbc,15988.00
