owner_acronym,sum_effective_value
rcmp,283069883.07
pspc,210668771.51
dnd,190175299.04
cra,104650610.48
csc,64818526.91
esdc,55528216.06
ircc,50654591.85
cbsa,49267869.09
nrc,37228886.45
gac,34556578.59
dfo,32659278.16
ec,28040399.23
pptc,26086123.92
ic,22083263.18
stats,20408222.98
agr,19490193.72
tc,18378338.68
just,15926291.31
hc,15656498.03
pco,14912074.51
csa,11757811.79
phac,10705700.54
ssc,10655376.76
nrcan,9453065.63
pc,9287652.33
cas,8718266.55
vac,7294313.29
lac,6258460.72
cfia,6035211.35
ppsc,5221898.36
tbs,5035081.94
cnsc,3461414.24
ps,2987399.93
inac,2941798.55
pch,2544847.50
fin,2066816.94
fintrac,627956.48
infra,622215.66
cihr,484968.00
pbc,459393.00
csps,296925.17
acoa,243729.87
osfi,213629.08
elections,140665.83
ced,127898.13
cpc,125695.38
feddev,112851.45
vrab,105089.00
neb,63436.29
psc,56167.00
nserc,29043.31
mgerc,7605.86
atssc,6773.36
