owner_acronym,total_entries,total_contracts,total_amendments
dnd,1587,1451,136
pspc,1325,1014,311
rcmp,881,737,144
csc,736,528,208
cra,357,271,86
esdc,320,308,12
dfo,305,209,96
ircc,274,254,20
nrc,226,185,41
ec,194,166,28
pc,169,156,13
pptc,136,133,3
gac,117,94,23
just,110,94,16
agr,105,90,15
ic,91,83,8
tc,86,77,9
ssc,78,60,18
hc,73,53,20
cbsa,70,60,10
pco,63,42,21
vac,55,52,3
nrcan,53,40,13
phac,51,43,8
ppsc,50,48,2
cfia,48,43,5
csa,44,39,5
inac,41,37,4
cnsc,36,28,8
ps,34,32,2
stats,30,29,1
lac,27,27,0
pch,23,20,3
cas,20,20,0
pbc,16,16,0
infra,15,13,2
tbs,13,8,5
feddev,12,6,6
acoa,12,11,1
fintrac,11,10,1
osfi,8,7,1
vrab,8,8,0
cihr,7,6,1
neb,6,5,1
csps,5,5,0
elections,4,4,0
psc,4,3,1
ced,3,3,0
fin,2,2,0
cpc,2,2,0
nserc,1,1,0
mpcc,1,1,0
mgerc,1,1,0
atssc,1,1,0
