owner_acronym,source_year,total_entries,total_contracts,total_amendments
dfo,2012,1,1,0
dnd,2009,1,1,0
dnd,2010,1,1,0
dnd,2011,295,295,0
dnd,2012,357,354,3
dnd,2013,65,65,0
dnd,2016,1,1,0
ec,2008,1,1,0
ec,2009,1,1,0
ec,2012,2,1,1
ec,2014,2,1,1
nrcan,2012,5,5,0
nrcan,2014,9,8,1
pc,2008,3,3,0
pc,2011,2,2,0
pc,2013,1,1,0
pc,2014,1,1,0
pc,2015,2,2,0
pc,2016,1,1,0
pc,2017,2,2,0
rcmp,2010,1,1,0
rcmp,2011,1,1,0
rcmp,2016,1,1,0
tc,2011,2,2,0
tc,2012,7,7,0
tc,2013,3,3,0
tc,2014,2,2,0
tc,2015,4,4,0
tc,2016,10,5,5
tc,2017,4,4,0
