owner_acronym,sum_effective_value
esdc,34626510.88
pspc,7054995.79
cra,6073786.87
ic,4419519.22
tbs,3382262.70
agr,2762936.23
just,2709743.69
gac,2493779.11
cbsa,1755621.78
neb,1522713.50
ircc,1360527.10
nrcan,1037339.84
inac,1019109.26
tc,720664.09
dfo,345325.59
ps,327318.06
feddev,320578.59
rcmp,284760.00
pch,268086.96
fin,267239.80
cihr,244080.00
csc,216532.00
nrc,205689.33
csps,186450.00
fcac,184712.95
cfia,166309.45
cnsc,144973.00
infra,118494.63
fja,115000.00
phac,90400.00
hc,90400.00
oag,84558.65
dnd,83341.75
nserc,80934.84
ec,76055.00
cc,70181.00
pc,50925.00
cannor,32642.88
psic,31131.50
psc,24622.00
acoa,21364.12
pco,21060.00
ced,19687.50
