owner_acronym,total_entries,total_contracts,total_amendments
esdc,136,93,43
pspc,49,32,17
agr,38,29,9
gac,38,33,5
ic,31,23,8
cra,20,15,5
ircc,18,15,3
nrcan,15,8,7
pch,13,13,0
oag,12,11,1
neb,12,7,5
inac,12,9,3
tbs,12,10,2
dfo,10,9,1
feddev,9,7,2
just,8,3,5
cbsa,8,4,4
fcac,7,7,0
tc,7,6,1
fin,6,5,1
csc,5,4,1
dnd,4,4,0
rcmp,4,4,0
fja,4,3,1
infra,4,4,0
cfia,3,3,0
nrc,3,3,0
ec,2,2,0
ssc,2,2,0
hc,2,1,1
cihr,2,1,1
csps,2,2,0
ps,2,2,0
phac,2,1,1
cnsc,2,2,0
cannor,1,1,0
acoa,1,1,0
nserc,1,1,0
osfi,1,1,0
pc,1,1,0
pco,1,1,0
pptc,1,1,0
psc,1,1,0
psic,1,1,0
ced,1,1,0
stats,1,1,0
cc,1,1,0
