vendor_normalized,effective_year,sum_yearly_value
BURKE CADER MEDIA STRATEGIES,2012,3390
BURKE CADER MEDIA STRATEGIES,2013,8983.5
BURKE CADER MEDIA STRATEGIES,2014,8983.5
CANADIAN CORPS OF COMMISSIONAIRES,2011,8392.5
CANADIAN CORPS OF COMMISSIONAIRES,2012,26307
CANADIAN CORPS OF COMMISSIONAIRES,2013,30183.5
CANADIAN CORPS OF COMMISSIONAIRES,2014,12269
CANADIAN CORPS OF COMMISSIONAIRES,2015,13968.5
CANADIAN CORPS OF COMMISSIONAIRES,2016,13968.5
CANON,2016,44161
CINDY CLEGG COMMUNICATIONS,2012,12096
CINDY CLEGG COMMUNICATIONS,2013,12096
CLARK SOLUTIONS,2011,11481.5
CLARK SOLUTIONS,2012,23124.845
CLARK SOLUTIONS,2013,11643.345
DELL COMPUTER,2014,60233
NISHA TECHONOLOGIES,2013,68388
NISHA TECHONOLOGIES,2014,30012
NORTHERN MICRO,2012,12044
NORTHERN MICRO,2016,84042
STEVEN C GAON,2011,12486.5
STEVEN C GAON,2012,12486.5
UNIVERSITE SAINTE ANNE,2016,24854
