owner_acronym,sum_effective_value
stats,53159249.87
esdc,16757611.56
pspc,15430892.69
cra,10009903.22
ssc,6936842.38
psc,4537994.00
hc,4469055.41
fin,3768028.39
ircc,3345541.13
phac,2920406.31
tc,1653732.99
agr,1394460.08
tbs,1358359.37
ic,1247464.85
ec,1074222.11
dnd,934450.30
rcmp,604834.28
nrcan,536869.71
just,534533.30
dfo,368434.88
csc,293296.00
pptc,94279.50
cfia,92129.87
osfi,65228.69
cbsa,63795.85
inac,53391.45
gac,43495.46
ps,39772.05
ced,29435.70
pco,24685.98
cgc,22848.00
nrc,13188.00
pmprb,11369.50
tsb,5034.76
