source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2015,64,29,35,527595.19,4200741.53
2016,152,73,79,1317358.06,9862773.51
2017,113,65,48,1099721.73,6147984.24
