owner_acronym,sum_effective_value
cra,77279064.10
ssc,25405058.81
elections,15781768.58
dnd,9053064.42
rcmp,3085812.67
tc,2608656.61
cnsc,1720528.05
pspc,1105514.04
dfo,758541.39
hc,497495.85
ec,300484.48
phac,272498.92
gac,194348.54
just,169794.11
cbsa,159816.09
psc,153339.00
stats,100653.52
nrcan,65774.70
ic,52803.00
csa,47665.80
cfia,42780.00
cgc,40146.62
csc,40075.00
inac,36080.00
ced,33541.95
pch,31629.83
pc,29139.30
tbs,17918.71
ircc,15634.01
cihr,11964.44
ppsc,11808.82
