owner_acronym,sum_effective_value
dnd,114952427.28
nrcan,46125653.63
ircc,12965396.41
csa,11963497.14
csc,9336961.93
esdc,8609592.89
gac,8423094.76
hc,7254778.71
pptc,6841357.91
pspc,6403487.96
phac,5428603.96
cbsa,5373616.96
vac,2883333.33
pch,2192737.17
csps,1954575.00
ic,1506752.00
agr,1377617.50
cnsc,1194816.51
inac,1075723.36
tbs,754480.41
ssc,572010.99
nrc,570400.83
dfo,506345.87
tc,497381.76
cfia,345497.50
just,287383.14
ps,247030.64
ec,242508.16
psc,230076.00
rcmp,209420.25
fin,208197.08
cra,189867.21
elections,185448.90
infra,148937.29
pco,84527.39
ppsc,78469.34
isc,66123.00
osgg,58896.50
stats,36548.27
fcac,34589.80
pc,31248.00
