owner_acronym,total_entries,total_contracts,total_amendments
dnd,2365,1740,625
ircc,91,72,19
pspc,73,47,26
hc,69,37,32
gac,67,37,30
esdc,61,52,9
pptc,56,47,9
phac,38,25,13
csc,37,23,14
cnsc,26,16,10
ic,23,17,6
nrc,22,9,13
pch,19,15,4
cbsa,18,13,5
tbs,16,10,6
nrcan,15,7,8
ec,14,11,3
isc,13,9,4
ssc,11,9,2
rcmp,11,8,3
csa,10,7,3
dfo,10,7,3
agr,8,4,4
inac,8,8,0
tc,8,5,3
cfia,7,4,3
fin,5,5,0
psc,4,2,2
just,4,3,1
ps,4,4,0
vac,3,2,1
cra,3,3,0
elections,2,2,0
fcac,2,2,0
csps,2,2,0
infra,2,2,0
pc,2,2,0
ppsc,2,2,0
pco,1,1,0
osgg,1,1,0
stats,1,1,0
