gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ALTRUISTIC INFORMATICS CONSULTING,2017,2,2,0
ANNE-MARIE KOKINSKI-CORNEAU,2017,2,2,0
CANADIAN CORPS OF COMMISSIONAIRES,2016,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2017,1,1,0
CDW CANADA,2017,2,2,0
COPEM CONSULTING,2017,2,2,0
EXCEL HUMAN RESOURCES,2017,3,3,0
JOHN DICKSON PROFESSIONAL CORPORATION,2016,1,1,0
JOHN DICKSON PROFESSIONAL CORPORATION,2017,2,1,1
QUINTET CONSULTING CORPORATION,2017,2,2,0
RICHARD GROUNDS,2017,3,3,0
RICHARD W GROUNDS,2016,2,2,0
RICHARD W GROUNDS,2017,2,0,2
