owner_acronym,sum_effective_value
esdc,410610711.05
ssc,9130163.63
dnd,8199088.25
phac,5269687.03
hc,4445712.78
ec,3120808.76
pspc,3111773.08
tc,1470253.94
ic,589608.25
dfo,533507.63
fja,492596.14
nrc,437783.00
just,394426.58
pc,289041.28
gac,283938.29
cra,274414.99
csa,261682.24
pch,252142.47
nrcan,249661.77
elections,238492.87
pco,223369.73
fin,209129.01
csc,201195.33
ircc,177351.48
inac,171512.88
stats,121159.70
pptc,116172.90
lac,112510.88
cnsc,96956.07
ps,90233.89
rcmp,81971.29
vac,61744.63
sshrc,61679.35
pbc,59611.00
tsb,58611.63
agr,58611.46
csps,55013.63
tbs,49055.50
cbsa,40517.30
infra,39151.45
psc,30412.00
pmprb,24809.72
isc,21416.25
