owner_acronym,total_entries,total_contracts,total_amendments
hc,157,128,29
phac,140,117,23
ec,119,70,49
pspc,106,82,24
dnd,86,78,8
esdc,81,78,3
tc,49,44,5
dfo,34,24,10
ic,33,30,3
ssc,21,15,6
fja,19,13,6
cra,19,13,6
gac,19,13,6
inac,18,12,6
nrc,17,13,4
nrcan,16,15,1
pc,15,14,1
just,14,14,0
csc,13,12,1
pch,11,11,0
fin,11,6,5
csa,8,8,0
agr,7,3,4
pco,7,4,3
lac,6,4,2
tbs,6,5,1
ps,5,4,1
stats,5,5,0
cbsa,4,3,1
vac,4,4,0
elections,4,4,0
csps,3,2,1
cnsc,3,3,0
sshrc,3,3,0
pbc,3,3,0
ircc,3,2,1
psc,2,2,0
pmprb,2,1,1
pptc,2,1,1
isc,2,2,0
rcmp,2,1,1
ppsc,1,1,0
tsb,1,1,0
infra,1,1,0
