gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BELL CANADA,2008,4,4,0
BELL CANADA,2009,5,4,1
BELL CANADA,2010,8,5,3
BELL CANADA,2011,9,7,2
BELL CANADA,2013,1,0,1
BELL CANADA,2014,3,2,1
BELL CANADA,2017,1,0,1
CANADIAN CORPS OF COMMISSIONAIRES,2009,1,1,0
CANADIAN CORPS OF COMMISSIONAIRES,2010,9,5,4
CANADIAN CORPS OF COMMISSIONAIRES,2011,11,9,2
CANADIAN CORPS OF COMMISSIONAIRES,2012,2,0,2
CANADIAN CORPS OF COMMISSIONAIRES,2013,2,1,1
CANADIAN CORPS OF COMMISSIONAIRES,2014,7,5,2
CANADIAN CORPS OF COMMISSIONAIRES,2015,9,5,4
CANADIAN CORPS OF COMMISSIONAIRES,2016,9,6,3
CANADIAN CORPS OF COMMISSIONAIRES,2017,13,10,3
CANON,2008,5,5,0
CANON,2009,7,7,0
CANON,2010,3,3,0
CANON,2011,5,5,0
CANON,2012,3,2,1
CANON,2013,1,1,0
CANON,2015,5,5,0
CANON,2016,2,2,0
DELL COMPUTER,2008,17,17,0
DELL COMPUTER,2009,19,17,2
DELL COMPUTER,2010,13,13,0
DELL COMPUTER,2011,9,9,0
DELL COMPUTER,2012,1,1,0
DELL COMPUTER,2013,3,3,0
DELL COMPUTER,2014,4,4,0
DELL COMPUTER,2015,5,5,0
EBSCO CANADA,2008,1,1,0
EBSCO CANADA,2009,3,2,1
EBSCO CANADA,2010,4,3,1
EBSCO CANADA,2011,5,2,3
EBSCO CANADA,2012,4,2,2
EBSCO CANADA,2013,3,3,0
EBSCO CANADA,2014,3,3,0
EBSCO CANADA,2015,3,3,0
EBSCO CANADA,2016,5,4,1
EBSCO CANADA,2017,4,4,0
EXCEL HUMAN RESOURCES,2008,13,12,1
EXCEL HUMAN RESOURCES,2009,3,3,0
EXCEL HUMAN RESOURCES,2010,4,4,0
EXCEL HUMAN RESOURCES,2011,1,1,0
EXCEL HUMAN RESOURCES,2012,3,2,1
EXCEL HUMAN RESOURCES,2013,8,8,0
EXCEL HUMAN RESOURCES,2014,7,4,3
EXCEL HUMAN RESOURCES,2015,5,4,1
EXCEL HUMAN RESOURCES,2016,4,2,2
EXCEL HUMAN RESOURCES,2017,6,5,1
FEDERAL EXPRESS CANADA,2010,1,1,0
FEDERAL EXPRESS CANADA,2014,13,13,0
FEDERAL EXPRESS CANADA,2015,6,6,0
FEDERAL EXPRESS CANADA,2016,13,13,0
FEDERAL EXPRESS CANADA,2017,2,2,0
NISHA TECHONOLOGIES,2008,9,9,0
NISHA TECHONOLOGIES,2009,9,9,0
NISHA TECHONOLOGIES,2010,10,10,0
NISHA TECHONOLOGIES,2011,1,1,0
NISHA TECHONOLOGIES,2012,1,1,0
NISHA TECHONOLOGIES,2013,3,3,0
NISHA TECHONOLOGIES,2014,1,0,1
NISHA TECHONOLOGIES,2015,1,1,0
NISHA TECHONOLOGIES,2016,9,9,0
NISHA TECHONOLOGIES,2017,6,6,0
NORTHERN MICRO,2008,1,1,0
NORTHERN MICRO,2010,1,1,0
NORTHERN MICRO,2011,1,1,0
NORTHERN MICRO,2014,1,1,0
NORTHERN MICRO,2015,4,4,0
NORTHERN MICRO,2016,11,11,0
NORTHERN MICRO,2017,13,12,1
RICOH,2008,9,8,1
RICOH,2009,5,5,0
RICOH,2010,11,11,0
RICOH,2011,13,13,0
RICOH,2012,8,4,4
RICOH,2013,1,1,0
RICOH,2015,4,4,0
RICOH,2017,5,5,0
