vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,17926009.425
CISION CDA,7561134.05499998
MINDWIRE SYSTEMS,7408469.01777778
ADRM TECHNOLOGY CONSULTING,5290987.02
DELL COMPUTER CORPORATION,4741318.83
NORTHERN MICRO,4051473.83
NISHA TECHONOLOGIES,3882676.16
MICROSOFT CANADA,3753941.535
CISION CANADA,3669533.61
BELL CANADA,3447865.23600001
XEROX,3086647.395
SOFTCHOICE,2779083.855
MCCARTHY TETRAULT LLP,2660383.3
EXCEL HUMAN RESOURCES,2373490.895
L3 COMMUNICATIONS,1594220.55
RICOH,1586840.36707143
NAUT SA MAWT TRIBAL COUNCIL,1559981.5
FACTIVA,1512704.47
GARTNER,1506414
CAPITAL DEDICATED LOGISTICS,1358023.82
SNAPSTREAM MEDIA,1348752.24666667
ALTIS HUMAN RESOURCES,1319595.22
MERGIS SPHERION,1289770.28571429
TOTEM OFFISOURCE,1219669.99
ROGERS,1205874.94666667
CEDROM-SNI,1179663.56
CBCI TELECOM COM,1085530.195
4 OFFICE AUTOMATION,1060788.07
MEDIA Q,1059299.58
QMR,1032632.2
TEKNION,952635.06
LA?GER MARKETING,935747.38
MIREMS,920950.00999999
IPSOS PARTNERSHIP,916865.05
EBSCO CANADA,862099.845000001
HARRIS/DECIMA,853766.03
LUMINA IT,817615.2
MEDIACO THE PRESENTATION CO,816236.84
CP IMAGES,795630.54
MEDIACO THE PRESENTATION,791000.02
CANON,785993.885333333
TELUS CANADA,769569.59
H K COMMUNICATIONS,739696.340833334
GRAND AND TOY,679164.48
ARTEMP PERSONNEL SERVICES,663910.85
DELOITTE AND TOUCHE,663463.06
SIMPLEX INDUSTRIES,630710.090833333
CHANNEL MANAGEMENT INTERNATIONAL,611664.86
FTI CONSULTING CDA ULC,598878.146666666
LES INDUSTRIES ROUILLARD,591217.98
SAMSON AND ASSOCIATES,583180.64
COMPUTER MEDIA GROUP,581359.3
SIXTECH INFORMATION MANAGEMENT,576913.48
IPSOS-REID CORPORATION,573466.21
APS-ANTIAN PROFESSIONAL,572686.89
MEDIACO THE PRESENTATION COMPANY,565000.02
CISTEL TECHNOLOGY,551010.62
FEDERAL EXPRESS CANADA,535994.52
IBISKA TELECOM,535306.58
EMCON,531965.39
IHS GLOBAL,504698.785
COSSETTE COMMUNICATIONS,483484.06
LANNICK CONTRACT SOLUTIONS,482566.5
EMERION,476718.75000001
KPMG,476295
CDW CANADA,474509.66
ARI FINANCIAL SERVICES T46163,459373.15
OPEN STORAGE SOLUTIONS,440240
PRINTERS PLUS,435178.498333333
HAVER ANALYTICS,423706.015
ZENTRA,415585.7
NEWFOUND RECRUITING CORPORATION,413820
HALLUX CONSULTING,400018.26
FEDEX EXPRESS CDA,372175.14
SUSSEX CIRCLE,371121.17
VOX POP LABS,369058
MISHKUMI TECHNOLOGIES,368981.73
BRAINHUNTER,365291
GLOBAL UPHOLSTERY CO,357619.01
NITRO MICROSYSTEMS,346136.44
COMPUAIDS,345667
FTI REPOSITORY SERVICES,343503.44
AVW-TELAV,340931.14
CORADIX TECHNOLOGY CONSULTING,324895.98
GENERAL DYNAMICS,321630.875
THE ACCESS INFORMATION AGENCY,319416.23
LANSDOWNE TECHNOLOGIES,316202.25
ARI FINANCIAL SERVICES,307166.97
KERR NORTON,303068.68
NATIONAL PRINTERS,293062.35
TURTLE ISLAND STAFFING,279431.93
AUTONOMY,276415.305
ART BANK,275321.383333333
BDMK CONSULTANTS,272443
AEPOS TECHNOLOGIES CORP,267866.51
CCSI TECHNOLOGY SOLUTIONS,262500
PRIVASOFT CORP,261423.330000001
DYNAMEX CANADA CORP,259226.97666667
CHUBB EDWARDS,258430.97
FORD MOTOR COMPAMY,257906.77
