source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,292,187,105,3182948.17,8102498.42
2009,312,208,104,3569827.34,9091089.65
2010,294,188,106,3117778.94,17110750.12
2011,246,149,97,2453789.89,15126897.52
2012,156,106,50,1823248.90,4315845.15
2013,200,127,73,2120818.80,14531775.75
2014,130,84,46,1458023.00,7086242.13
2015,158,103,55,1747363.16,4589940.13
2016,256,155,101,2583065.78,20962086.60
2017,331,211,120,3839339.72,35961981.07
