owner_acronym,total_entries,total_contracts,total_amendments
hc,81,58,23
pspc,80,57,23
phac,78,55,23
tc,57,39,18
gac,56,44,12
ec,47,39,8
esdc,38,38,0
tbs,37,27,10
cfia,33,18,15
cnsc,29,23,6
inac,28,21,7
ps,24,22,2
dnd,23,20,3
dfo,22,15,7
cbsa,22,15,7
just,21,13,8
ssc,20,15,5
nrcan,20,14,6
nrc,20,13,7
infra,17,16,1
pco,16,12,4
vac,12,10,2
ic,12,12,0
csa,10,8,2
ircc,9,7,2
cra,8,5,3
stats,7,7,0
pch,7,6,1
mgerc,6,4,2
pc,6,5,1
fin,5,5,0
agr,5,4,1
feddev,5,4,1
oci,3,1,2
sirc,3,3,0
atssc,3,3,0
fintrac,2,2,0
isc,2,1,1
cas,2,2,0
cc,2,2,0
ppsc,2,2,0
csc,2,2,0
psc,2,2,0
ceaa,2,2,0
vrab,1,1,0
mpcc,1,1,0
neb,1,1,0
ocol,1,1,0
elections,1,1,0
cta,1,1,0
rcmp,1,1,0
fja,1,1,0
