owner_acronym,sum_effective_value
hc,12215999.82
phac,10024576.58
tbs,8179584.78
pspc,7379130.28
cbsa,5419186.16
gac,5163661.25
tc,3596789.42
dnd,3381104.46
ssc,3059794.75
esdc,2839315.74
ec,2701908.32
ps,2404477.79
infra,1934712.01
inac,1496511.48
cfia,1439838.60
cnsc,1371321.97
just,1285461.54
stats,1116611.24
nrcan,1059012.64
dfo,866292.21
atssc,823431.00
ic,822038.80
csa,755204.28
nrc,732547.50
cra,688626.88
feddev,668339.25
pco,651799.71
vac,616027.64
ircc,330027.51
fin,305805.34
oci,293221.29
agr,281856.26
pc,272937.22
pch,261076.15
sirc,214512.91
elections,191433.38
rcmp,176403.16
mgerc,172686.60
csc,141250.00
fintrac,139115.00
isc,125580.67
psc,81120.00
cas,66421.40
cc,47530.00
ppsc,41896.10
ocol,39260.82
ceaa,28986.12
neb,25000.00
fja,25000.00
mpcc,24577.50
cta,23205.00
vrab,14599.00
