owner_acronym,total_entries,total_contracts,total_amendments
cra,444,426,18
dnd,295,264,31
ssc,172,106,66
pspc,96,78,18
rcmp,40,31,9
dfo,31,18,13
ircc,29,23,6
nrc,27,26,1
gac,27,25,2
ec,26,16,10
ic,25,21,4
agr,20,15,5
stats,18,18,0
esdc,12,12,0
ps,10,10,0
pptc,10,7,3
psc,9,8,1
csa,9,9,0
tc,7,7,0
fcac,6,6,0
just,5,3,2
hc,4,4,0
nrcan,4,4,0
phac,4,4,0
vac,3,3,0
cfia,3,3,0
pch,3,3,0
ppsc,3,2,1
cbsa,2,2,0
fintrac,2,2,0
tbs,2,2,0
osgg,2,1,1
ced,2,2,0
fin,2,2,0
inac,2,2,0
elections,1,1,0
ijc,1,1,0
neb,1,1,0
crtc,1,1,0
cnsc,1,1,0
