owner_acronym,sum_effective_value
pspc,356112562.64
dnd,76168447.56
ssc,70575490.40
cra,55934498.83
dfo,10859790.10
rcmp,10413666.02
psc,9257696.00
ec,9070250.68
stats,9037497.67
ircc,8804762.62
pptc,6356126.30
esdc,5660966.66
ic,5660813.33
gac,5598196.66
just,3643938.71
ps,3604616.91
agr,2508780.32
hc,2462298.75
tc,2390820.63
nrc,633432.00
nrcan,472633.39
csa,447378.88
fintrac,335858.63
vac,305611.42
fcac,271015.09
ced,266448.21
cfia,122325.00
ppsc,94567.67
phac,72160.53
tbs,60000.01
cbsa,54652.62
cnsc,49612.50
neb,32074.56
osgg,28129.97
inac,27944.99
pch,23038.98
crtc,16787.85
fin,15288.98
elections,11882.87
ijc,6915.60
