gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BRENDA KEEN CONSULTING,2017,1,1,0
CGI,2017,2,2,0
CISTEL TECHNOLOGY,2017,1,1,0
CONTRACT COMMUNITY,2017,2,1,1
EXCEL HUMAN RESOURCES,2017,2,2,0
GOSS GILROY,2017,2,1,1
HAY GROUP,2017,2,1,1
ORACLE CANADA,2017,2,2,0
QUANTUM MANAGEMENT SERVICES,2017,3,3,0
ST JOSEPH PRINT GROUP,2017,2,2,0
