gen_vendor_normalized,total_entries,total_contracts,total_amendments
QUANTUM MANAGEMENT SERVICES,3,3,0
EXCEL HUMAN RESOURCES,2,2,0
ORACLE CANADA,2,2,0
CONTRACT COMMUNITY,2,1,1
CGI,2,2,0
ST-JOSEPH PRINT GROUP,2,2,0
HAY GROUP,2,1,1
GOSS GILROY,2,1,1
EMOND HARNDEN LLP,1,1,0
FUTURESCAPER,1,1,0
GONTRAN BLAIS,1,1,0
INSTITUTE ON GOVERNANCE,1,1,0
KATE MCGREGOR COMMUNICATIONS,1,1,0
LAUZE GUY,1,1,0
LES TRADUCTIONS H D,1,1,0
MEDIAMISER,1,1,0
MYRIAM AFRIAT,1,1,0
PRA,1,1,0
SOUTHSIDE COMMUNICATIONS,1,1,0
ADVANCED CHIPPEWA TECHNOLOGIES,1,1,0
VERSACOM,1,1,0
ALTIS HUMAN RESOURCES,1,1,0
BRENDA KEEN CONSULTING,1,1,0
BRYMARK,1,1,0
CARLSON WAGONLIT GLOBAL TRAVEL,1,1,0
CISTEL TECHNOLOGY,1,1,0
CNW GROUP,1,1,0
COMMUNITY FOUNDATIONS,1,1,0
