owner_acronym,sum_effective_value
pspc,179934244.40
esdc,90716540.58
rcmp,23858052.40
ssc,23025149.15
cbsa,21167798.80
gac,19282160.39
tc,17885681.39
hc,13774514.67
phac,12869477.57
dnd,11813833.76
ic,8512798.02
neb,7141199.39
ircc,4256988.29
inac,3281781.83
dfo,3245793.58
cnsc,3171654.51
stats,2386233.43
tbs,1803676.21
nrcan,1474650.02
pc,1435455.02
pch,1251447.13
just,996262.55
agr,994707.00
csps,555406.30
ec,465384.77
osgg,394596.00
fin,360799.37
cfia,275819.82
psc,158670.02
cihr,139642.00
lac,115992.38
ppsc,111056.40
elections,92431.28
cra,74851.20
fja,43575.00
nrc,35137.00
pco,24408.00
vac,20520.00
ps,19687.50
atssc,18034.80
crtc,14637.00
