gen_vendor_normalized,total_entries,total_contracts,total_amendments
DONNA CONA,109,86,23
CANADIAN DEVELOPMENT CONSULTANTS,109,63,46
PUBLIC HISTORY,107,50,57
JOAN HOLMES & ASSOC,81,40,41
EXCEL HUMAN RESOURCES,76,48,28
NORTHERN MICRO,74,74,0
STRATOS,70,30,40
SMITH RESEARCH,50,26,24
T H G THE HISTORY GROUP,48,30,18
CANADIAN CORPS OF COMMISSIONAIRES,42,32,10
ALTIS HUMAN RESOURCES,41,34,7
ARCADIS CANADA,41,34,7
LINK ADVANTAGE RESEARCH CORP,38,21,17
STANTEC,36,17,19
DELOITTE AND TOUCHE,33,25,8
BKH SOLUTIONS CONSULTING,32,9,23
ENNS RON,32,18,14
WAMPUM RECORDS,30,15,15
ASOKAN BUSINESS INTERIORS,30,30,0
XEROX,30,27,3
LANE SIOBHAN,29,15,14
QMR,28,21,7
ADGA GROUP,28,26,2
MAXSYS STAFFING AND CONSULTING,28,14,14
ESRI,27,26,1
KPMG,26,18,8
CORADIX TECHNOLOGY CONSULTING,26,19,7
TIREE,25,17,8
COLLIERS PROJECT LEADERS,25,19,6
BRONSON CONSULTING GROUP,25,15,10
HISTORICE CONSULTANTS,24,11,13
BLAIR ELLIOT TOTHILL O/A SOMATOS,24,17,7
KONICA MINOLTA BUSINESS EQUIPMENT,24,23,1
APPLIED ELECTONICS,24,24,0
ORACLE CANADA,23,23,0
CANON,23,22,1
BDO CANADA,22,12,10
TURTLE ISLAND STAFFING,22,15,7
SNC-LAVALIN,22,14,8
NISHA TECHONOLOGIES,22,22,0
IT/NET CONSULTANTS,21,16,5
ROBERTSON GEOCONSULTANTS,21,13,8
JACOBI SANDRA E,21,10,11
GREAT SLAVE HELICOPTER,21,21,0
AIR TINDI,20,20,0
SUMMIT AIR CHARTERS,20,20,0
ARTEMP PERSONNEL SERVICES,20,12,8
CDCI RESEARCH,19,10,9
BUNTON ANDREA,19,11,8
THE RIGHT DOOR CONSULTING,19,11,8
TPG TECHNOLOGY CONSULTANTS,18,5,13
WAMPUM RECORDS AND CANADIAN,18,16,2
DPRA CANADA,18,9,9
CIRCARE CONSULTANTS,18,8,10
FOREST COMMUNICATIONS,18,16,2
DALIAN ENTERPRISES,18,14,4
QUANTUM MANAGEMENT SERVICES,18,12,6
CENTRE DE LANGUES INTERNATIONALES,17,15,2
BGC ENGINEERING,17,17,0
RICOH,17,16,1
FISCAL REALITIES ECONOMISTS,17,13,4
INTELLIQUEST CANADA,17,15,2
IBM CANADA,16,15,1
KONICA MINOLTA BUSINESS SOLUTIONS,16,13,3
DEJONG MELISSA JOY,16,9,7
HAWORTH C/O ASOKAN,16,16,0
IRON MOUNTAIN,16,11,5
BOYLE MARILYN,16,10,6
1236007 ALBERTA,16,13,3
I M CHAIKIN INFORMATION SOLUTIONS,15,7,8
DYNAMIC PERSONNEL,15,12,3
PRICEWATERHOUSE COOPERS,15,12,3
CDCI WAMPUM JOINT VENTURE,15,5,10
SETASIDE SOLUTIONS 4336615 CANADA,15,15,0
CIMBERLY GAYLE RESEARCH SERVICES,15,7,8
SRK CONSULTING CANADA,14,6,8
ECOLE DE LANGUES ABCE,14,10,4
PITNEY BOWES,14,14,0
BLAIR ELLIOT TOTHILL DBA SOMATOS,14,11,3
BLAIR ELLIOT TOTHILL O/A SOMATOS INFORMATION CONSULTING,14,2,12
CLARK ADRIAN,14,8,6
LAROCQUE LINGUISTIC SERVICES,14,11,3
TOTEM OFFISOURCE,14,14,0
ADIRONDACK INFORMATION MANAGEMENT,14,7,7
CGI,13,7,6
CDW CANADA,13,11,2
LUCID RESEARCH,13,7,6
LAURIER RESEARCH GROUP,13,9,4
OUTCOME-MERIT A JOINT VENTURE,13,10,3
ERNST & YOUNG,13,10,3
SPIRIT STAFFING & CONSULTING,12,10,2
KNOWLEDGE CIRCLE LEARNING SERVICES,12,11,1
PEAK MANAGEMENT AND NEGOTIATIONS,12,3,9
GRAND & TOY,12,12,0
TURTLE TECHNOLOGIES,12,10,2
NORTON SECURITY CONSULTING,12,9,3
HILL & KNOWLTON,12,7,5
ACCESSDATA,11,11,0
SRK CONSULTING ENGINEERS & SCIEN,11,8,3
DROLET MARC,11,4,7
