gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,29,20,9
RICOH,21,18,3
QUANTUM MANAGEMENT SERVICES,19,13,6
ITEX,16,16,0
ROGERS,15,12,3
NISHA TECHONOLOGIES,15,15,0
CLA PERSONNEL,14,8,6
CORADIX TECHNOLOGY CONSULTING,14,10,4
DELOITTE AND TOUCHE,13,13,0
PPI MANAGEMENT,12,8,4
MARIE ST JEAN,12,11,1
FREEBALANCE,12,12,0
CANADA POST,11,7,4
SAMSON ASSOCIATES,10,10,0
BELL CANADA,10,9,1
MARTYNE RIOUX,10,9,1
ANDRACE BRUNET,10,9,1
GILMORE REPRODUCTIONS,9,7,2
UNIVERSITAC SAINTE ANNE,9,8,1
SOFTCHOICE,9,9,0
IROSOFT,9,6,3
LAZHAR FARZA,8,6,2
LES PRODUCTIONS JEAN MARC LEVASSEUR,8,8,0
LOUISE GAGNAC,8,8,0
ESTELLE CARDIN TREMBLAY,8,8,0
INSA,7,7,0
CENTRE DE FORMATION PROFESSIONNELLE ET LINGUISTIQUE CARON,7,6,1
LONGO ASSOCIATES,7,6,1
DENSAN CONSULTANTS,7,7,0
OPENTEXT,7,7,0
HARRINGTON STAFFING SERVICES,7,3,4
IAN MARTIN,7,5,2
PROTAK CONSULTING GROUP,7,6,1
ACOLE DE LANGUES LA CITAC,7,6,1
FRANCINE DESJARLAIS,6,6,0
ACOLE DE LANGUE GLYNN,6,6,0
GRAND AND TOY,6,6,0
MONIQUE RICHARD,6,6,0
SOCIACTAC GAMMA,6,5,1
TRANS SCRIPT ENR,6,4,2
SELECTRUM COMMUNICATIONS,5,4,1
LISA JOLY,5,4,1
MAGDALENA GALICKA ZABLOTNI,5,5,0
HARRINGTON STAFFING,5,3,2
SUZANNE OUELLET,5,5,0
ALITHYA GROUP,5,2,3
LABOUR TEK PERSONNEL SEVICES,5,3,2
ROSEMORR HOLDINGS,5,4,1
COPEM CONSULTING,5,5,0
FURLOW FINANCIAL,5,4,1
FRANAOIS DECOSTE,4,4,0
FAIRMONT LE CHATEAU FRONTENAC,4,4,0
DELL COMPUTER,4,4,0
LIONBRIDGE,4,2,2
POSTMEDIA DIGITAL,4,4,0
TPG TECHNOLOGY CONSULTANTS,4,3,1
ROSE CAM YAN,4,4,0
MARCEL DEGAGNAC,4,4,0
BRADDA PRINTING SERVICES,4,4,0
ERNST YOUNG,4,3,1
DAVID RUSHTON,4,4,0
CIA CONSEILLERS EN INFORMATIQUE DAFFAIRES,4,3,1
RIOUX MARTYNE,3,2,1
FRANK ARECCHI ASSOCIATES,3,3,0
ADVANCED BUSINESS INTERIORS,3,3,0
GERRY MONTPETIT CONSULTING,3,2,1
MICROSOFT CANADA,3,3,0
MURRAY NICHOLAS ASSOCIATES,3,3,0
CIA CONSEILLERS EN INFORMATION DAFFAIRES,3,3,0
CANLINE MEDIA,3,3,0
GROUPE ALITHIS,3,2,1
PAMELA RYDER LAHEY,3,2,1
DESJARLAIS FRANCINE,3,2,1
CARBURE,3,3,0
BIBIANE ROY,3,3,0
ACTION PERSONNEL OF OTTAWA HULL,3,2,1
COPEM,3,2,1
RICHARD J NEVILLE FCPA FCA,3,3,0
ANDRACE BACLANGER ROY,3,3,0
ROBERT HALF CANADA,3,3,0
ROGER GRANT,3,3,0
JANIQUE SIMARD OUELLETTE,3,2,1
SHARP ELECTRONICS,3,2,1
SI SYSTEMS,3,2,1
FAIRMONT LE CHACTEAU FRONTENAC,3,3,0
CENTRE DE FORMATION CARON,3,3,0
KELLY SEARS CONSULTING,3,2,1
LEXMARK CANADA,3,1,2
LEXUM,3,3,0
FLORENCE SAINT CLAIRE,3,3,0
ESTHER MAHONEY,2,2,0
RAINMAKER CONSULTING SERVICES,2,2,0
NATIONAL JUDICIAL INSTITUTE,2,2,0
MTS ALLSTREAM,2,2,0
JEANNE RUEST,2,2,0
9031383 CANADA LAURA MCALLISTER WOOD,2,2,0
BOZZ IT CONSULTING,2,2,0
INN AT THE FORKS,2,2,0
ECOLE DE LANGUE GLYNN,2,2,0
PITNEY BOWES,2,2,0
CHANTAL THACRIAULT,2,2,0
PIERRE R GAUDET CONSULTING,2,2,0
VERSACOM,2,1,1
MANOIR ST SAUVEUR,2,2,0
KELLY SEARS CONSULTING GROUP,2,2,0
PHILIPPE CLOUTIER,2,2,0
STRATEGIC COUNCIL,2,2,0
LA CITAC UNIVERSITAIRE FRANCOPHONE,2,2,0
PETER HOGG,2,2,0
FASKEN MARTINEAU DUMOULIN,2,2,0
LATOUR CINACMA VIDACO,2,2,0
LATOUR CINEMA VIDEO,2,1,1
ALEXANDER EDWARDS,2,1,1
THE 500 STAFFING,2,1,1
THE PRINCE GEORGE HOTEL,2,2,0
PETER HADWEN CONSULTING,2,2,0
MANOIR VICTORIA,2,2,0
FRANK ARECCHI ASSSOCIATES,2,2,0
CYGNOS INFORMATION SECURITY,2,2,0
TONY MARQUES LAW,2,2,0
DICTUM CONSULTING,2,2,0
GROUPE ALITHYA,2,2,0
GRAND TOY,2,2,0
FLEXTECH SERVICES,2,2,0
TRADUCTION TESSIER,2,2,0
TRANSCRIPT,2,1,1
GLENDON EXTENDED LEARNING GLENDON CAMPUS YORK UNIVERSITY,2,2,0
OBRIEN ASSOCIATES MANAGEMENT CONSULTANTS,2,1,1
DELSEC,2,2,0
LOUISE GAGNE,2,2,0
GLENDON CAMPUS OF YORK UNIVERSITY,2,2,0
9031383 CANADA,2,1,1
DELO CONSULTANTS,2,2,0
CORPORATE RENAISSANCE GROUP,2,2,0
ROYAL REPORTING SERVICES,2,2,0
RITA DENTREMONT,2,2,0
SAINT SULPICE HATEL MONTRACAL,2,2,0
BROOKE DELISLE,2,1,1
RIMA MAJAESS,2,2,0
SAVOIE SECURITY ASSOCIATES INCORPORATE,2,2,0
ESTER MAHONEY,2,2,0
RAMNEET SIERRA,2,1,1
MCIS LANGUAGE SOLUTIONS,1,1,0
MCKERCHER,1,1,0
MCKERCHER BARISTERS SOLICITORS,1,1,0
MCLOUGHLIN MEDIA,1,1,0
MELANIE MALLET,1,1,0
