source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,47,32,7,8,487265.51,173096.70,353580.75
2009,62,41,7,14,696375.64,171846.34,1265645.32
2010,77,46,15,16,692642.75,372354.19,1021347.61
2011,115,65,21,29,1014228.84,519884.29,1980940.58
2012,94,56,11,27,899381.52,272183.88,1335406.06
2013,94,60,10,24,903351.70,246765.86,1625223.45
2014,83,46,15,22,671325.01,370854.00,1648404.89
2015,84,51,15,18,788807.07,369624.13,1829958.65
2016,77,51,6,20,804050.77,149317.72,1095748.15
2017,85,55,11,19,828881.68,272180.23,2243832.98
