owner_acronym,total_entries,total_contracts,total_amendments
dnd,332,324,8
ec,110,104,6
dfo,99,88,11
rcmp,93,91,2
nrcan,70,65,5
pspc,34,32,2
ps,30,30,0
inac,27,26,1
hc,26,24,2
pc,23,19,4
stats,23,23,0
phac,22,20,2
ceaa,15,14,1
tc,14,14,0
gac,12,12,0
pch,11,11,0
nrc,11,11,0
agr,10,8,2
cfia,9,8,1
esdc,7,7,0
elections,7,7,0
infra,6,6,0
cnsc,6,6,0
csa,4,4,0
ic,3,3,0
cbsa,2,2,0
neb,2,2,0
ircc,2,2,0
ijc,1,1,0
csc,1,1,0
