vendor_normalized,effective_year,sum_yearly_value
ARUP CANADA,2014,7478492.55
ARUP CANADA,2015,7478492.55
CANADIAN CORPS OF COMMISSIONAIRES,2010,260981.28
CANADIAN CORPS OF COMMISSIONAIRES,2011,1728037.065
CANADIAN CORPS OF COMMISSIONAIRES,2012,3293913.26
CANADIAN CORPS OF COMMISSIONAIRES,2013,2381233.46
CANADIAN CORPS OF COMMISSIONAIRES,2014,2051904.84
CANADIAN CORPS OF COMMISSIONAIRES,2015,3440054.56
CANADIAN CORPS OF COMMISSIONAIRES,2016,3396509.91
CANADIAN CORPS OF COMMISSIONAIRES,2017,2014307.63333333
HEDDLE MARINE SERVICES,2015,5226592.8133334
HEDDLE MARINE SERVICES,2016,5226592.8133334
HEDDLE MARINE SERVICES,2017,5599041.1933334
MANPOWER SERVICES CANADA,2014,3059903.1
MANPOWER SERVICES CANADA,2015,4778030.46666666
MANPOWER SERVICES CANADA,2016,1686161.19166666
MANPOWER SERVICES CANADA,2017,1829028.60833333
MINDWIRE SYSTEMS,2010,1753789.08333333
MINDWIRE SYSTEMS,2011,1495245.08333333
MINDWIRE SYSTEMS,2012,1373205.08333333
MINDWIRE SYSTEMS,2013,1702684
MINDWIRE SYSTEMS,2014,1970833
MINDWIRE SYSTEMS,2015,3562673.94
MINDWIRE SYSTEMS,2016,2933798.8066667
MINDWIRE SYSTEMS,2017,1379398.03
ORACLE CANADA,2011,77933.275
ORACLE CANADA,2012,98298.655
ORACLE CANADA,2013,392121.965
ORACLE CANADA,2014,5614150.9775
ORACLE CANADA,2015,8651909.9175
ORACLE CANADA,2016,2189150.16
ORACLE CANADA,2017,1629837.7
PMG TECHNOLOGIES,2008,624205.05
PMG TECHNOLOGIES,2009,1496960.9175
PMG TECHNOLOGIES,2010,1496960.9175
PMG TECHNOLOGIES,2011,4018713.8125
PMG TECHNOLOGIES,2012,4451972.44
PMG TECHNOLOGIES,2013,5840198.1825
PMG TECHNOLOGIES,2014,12075430.61
PMG TECHNOLOGIES,2015,11827961.57
PMG TECHNOLOGIES,2016,10838402.94
PMG TECHNOLOGIES,2017,13566883.655
SI SYSTEMS,2010,1509304.08666667
SI SYSTEMS,2011,1546874.56333333
SI SYSTEMS,2012,2639267.41
SI SYSTEMS,2013,1496709.86
SI SYSTEMS,2014,2047462.44333333
SI SYSTEMS,2015,796499.333333333
SI SYSTEMS,2016,1791090.3033333
SI SYSTEMS,2017,3359719.46666664
TPG TECHNOLOGY CONSULTANTS,2008,250618.74
TPG TECHNOLOGY CONSULTANTS,2009,250618.74
TPG TECHNOLOGY CONSULTANTS,2010,492211.065
TPG TECHNOLOGY CONSULTANTS,2011,2098513.205
TPG TECHNOLOGY CONSULTANTS,2012,2185946.94
TPG TECHNOLOGY CONSULTANTS,2013,2421912.05
TPG TECHNOLOGY CONSULTANTS,2014,962974.323333333
TPG TECHNOLOGY CONSULTANTS,2015,1928891.73166666
TPG TECHNOLOGY CONSULTANTS,2016,1690788.86666666
TPG TECHNOLOGY CONSULTANTS,2017,1595492.2
XEROX,2008,657530.251238097
XEROX,2009,657530.251238097
XEROX,2010,1723542.9112381
XEROX,2011,1832602.15790476
XEROX,2012,1859312.00857143
XEROX,2013,1288731.294
XEROX,2014,1562366.319
XEROX,2015,571512.995333334
XEROX,2016,-889394.068595204
XEROX,2017,2162863.01678568
