gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
AERO SUPPLIES,2011,1,1,0
AERO SUPPLIES,2012,8,8,0
AERO SUPPLIES,2013,9,9,0
AERO SUPPLIES,2014,28,28,0
AERO SUPPLIES,2015,13,13,0
AERO SUPPLIES,2016,15,15,0
AERO SUPPLIES,2017,33,33,0
ALTIS HUMAN RESOURCES,2011,18,17,1
ALTIS HUMAN RESOURCES,2012,12,7,5
ALTIS HUMAN RESOURCES,2013,17,13,4
ALTIS HUMAN RESOURCES,2014,20,16,4
ALTIS HUMAN RESOURCES,2015,18,16,2
ALTIS HUMAN RESOURCES,2016,9,8,1
ALTIS HUMAN RESOURCES,2017,14,12,2
BELL TEXTRON HELICOPTER,2011,20,20,0
BELL TEXTRON HELICOPTER,2012,13,13,0
BELL TEXTRON HELICOPTER,2013,18,18,0
BELL TEXTRON HELICOPTER,2014,25,25,0
BELL TEXTRON HELICOPTER,2015,34,32,2
BELL TEXTRON HELICOPTER,2016,20,19,1
BELL TEXTRON HELICOPTER,2017,28,28,0
BOMBARDIER,2011,45,45,0
BOMBARDIER,2012,40,40,0
BOMBARDIER,2013,39,39,0
BOMBARDIER,2014,30,30,0
BOMBARDIER,2015,28,27,1
BOMBARDIER,2016,30,30,0
BOMBARDIER,2017,34,34,0
CANADIAN CORPS OF COMMISSIONAIRES,2011,19,19,0
CANADIAN CORPS OF COMMISSIONAIRES,2012,19,16,3
CANADIAN CORPS OF COMMISSIONAIRES,2013,7,6,1
CANADIAN CORPS OF COMMISSIONAIRES,2014,17,15,2
CANADIAN CORPS OF COMMISSIONAIRES,2015,8,6,2
CANADIAN CORPS OF COMMISSIONAIRES,2016,10,10,0
CANADIAN CORPS OF COMMISSIONAIRES,2017,6,5,1
EXCEL HUMAN RESOURCES,2011,29,27,2
EXCEL HUMAN RESOURCES,2012,16,15,1
EXCEL HUMAN RESOURCES,2013,11,8,3
EXCEL HUMAN RESOURCES,2014,15,11,4
EXCEL HUMAN RESOURCES,2015,8,7,1
EXCEL HUMAN RESOURCES,2016,9,5,4
EXCEL HUMAN RESOURCES,2017,5,3,2
FLIGHT SAFETY INTERNATIONAL,2011,11,11,0
FLIGHT SAFETY INTERNATIONAL,2012,2,2,0
FLIGHT SAFETY INTERNATIONAL,2013,22,22,0
FLIGHT SAFETY INTERNATIONAL,2014,21,21,0
FLIGHT SAFETY INTERNATIONAL,2015,22,22,0
FLIGHT SAFETY INTERNATIONAL,2016,12,12,0
FLIGHT SAFETY INTERNATIONAL,2017,3,3,0
NORTHERN MICRO,2011,6,6,0
NORTHERN MICRO,2012,1,1,0
NORTHERN MICRO,2013,13,13,0
NORTHERN MICRO,2014,10,10,0
NORTHERN MICRO,2015,13,13,0
NORTHERN MICRO,2016,12,12,0
NORTHERN MICRO,2017,20,20,0
PMG TECHNOLOGIES,2011,19,12,7
PMG TECHNOLOGIES,2012,31,23,8
PMG TECHNOLOGIES,2013,56,40,16
PMG TECHNOLOGIES,2014,29,23,6
PMG TECHNOLOGIES,2015,29,23,6
PMG TECHNOLOGIES,2016,30,17,13
PMG TECHNOLOGIES,2017,39,33,6
XEROX,2011,23,23,0
XEROX,2012,13,13,0
XEROX,2013,40,37,3
XEROX,2014,29,28,1
XEROX,2015,34,26,8
XEROX,2016,32,25,7
XEROX,2017,31,27,4
