owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,3,3,0
agr,2015,1,1,0
agr,2016,2,1,1
agr,2017,1,1,0
atssc,2016,1,1,0
atssc,2017,1,1,0
cbsa,2014,1,1,0
cbsa,2015,2,1,1
cbsa,2016,3,1,2
cbsa,2017,4,4,0
cfia,2012,1,1,0
cfia,2015,3,2,1
cfia,2016,1,1,0
cnsc,2010,3,1,2
cnsc,2012,2,1,1
cnsc,2013,1,1,0
cnsc,2014,2,1,1
csa,2009,1,1,0
csa,2010,1,1,0
csa,2011,1,1,0
csps,2015,2,1,1
dfo,2010,1,1,0
dfo,2011,2,2,0
dfo,2012,2,1,1
dfo,2013,2,1,1
dfo,2014,1,1,0
dfo,2016,2,2,0
dfo,2017,5,4,1
dnd,2008,6,6,0
dnd,2009,3,1,2
dnd,2010,5,2,3
dnd,2011,22,18,4
dnd,2012,5,2,3
dnd,2013,6,5,1
dnd,2014,12,10,2
dnd,2015,7,5,2
dnd,2016,2,1,1
dnd,2017,2,1,1
ec,2009,5,5,0
ec,2010,46,46,0
ec,2011,20,19,1
ec,2012,32,31,1
ec,2013,26,26,0
ec,2014,7,7,0
ec,2015,2,1,1
elections,2017,1,1,0
esdc,2008,1,1,0
esdc,2011,5,5,0
esdc,2012,1,1,0
esdc,2013,2,2,0
esdc,2014,3,3,0
esdc,2015,4,4,0
esdc,2016,5,5,0
esdc,2017,10,8,2
fcac,2014,1,1,0
fin,2008,2,2,0
fin,2011,1,1,0
gac,2008,1,1,0
gac,2009,3,3,0
gac,2010,1,1,0
gac,2012,1,1,0
gac,2015,2,2,0
hc,2010,1,1,0
hc,2014,1,1,0
hc,2016,2,2,0
ic,2008,2,2,0
ic,2009,4,4,0
ic,2011,1,1,0
ic,2012,5,4,1
ic,2013,1,1,0
ic,2014,1,1,0
ic,2015,1,1,0
ic,2016,1,0,1
infra,2016,1,1,0
infra,2017,1,0,1
ircc,2010,14,14,0
ircc,2011,5,5,0
ircc,2012,8,0,8
ircc,2014,5,5,0
ircc,2015,5,4,1
ircc,2016,9,9,0
ircc,2017,7,3,4
just,2009,1,1,0
just,2010,1,1,0
just,2011,1,1,0
just,2012,4,4,0
just,2013,3,3,0
just,2014,2,2,0
just,2015,1,0,1
just,2016,2,0,2
lac,2013,1,1,0
lac,2014,2,2,0
lac,2015,1,1,0
lac,2016,2,1,1
nrc,2009,1,1,0
nrcan,2011,1,1,0
nrcan,2014,1,1,0
osfi,2016,5,3,2
osfi,2017,3,0,3
pc,2015,1,1,0
pco,2013,2,2,0
pco,2014,2,2,0
pco,2015,1,1,0
pco,2017,1,1,0
phac,2010,1,1,0
phac,2014,1,1,0
phac,2016,2,2,0
ppsc,2010,1,1,0
ppsc,2011,1,1,0
ppsc,2012,1,1,0
pptc,2010,3,3,0
pptc,2011,2,1,1
ps,2009,2,2,0
psc,2016,1,1,0
psc,2017,1,1,0
pspc,2008,3,3,0
pspc,2009,3,3,0
pspc,2010,4,4,0
pspc,2011,10,7,3
pspc,2013,1,1,0
pspc,2017,1,1,0
rcmp,2010,1,1,0
rcmp,2011,1,1,0
rcmp,2012,1,1,0
rcmp,2015,2,1,1
rcmp,2016,2,0,2
rcmp,2017,1,0,1
ssc,2012,11,6,5
ssc,2013,8,5,3
ssc,2014,3,1,2
ssc,2015,6,4,2
ssc,2016,33,16,17
ssc,2017,40,9,31
stats,2008,1,1,0
stats,2010,2,2,0
stats,2011,1,1,0
stats,2013,2,2,0
stats,2015,1,1,0
tbs,2009,4,3,1
tbs,2010,5,3,2
tbs,2011,2,1,1
tbs,2012,1,0,1
tbs,2013,1,1,0
tbs,2015,1,1,0
tc,2011,1,1,0
tc,2012,4,4,0
tc,2013,2,2,0
tc,2014,4,3,1
tc,2015,4,3,1
tc,2016,2,1,1
tc,2017,5,4,1
vac,2015,1,1,0
vac,2017,1,1,0
