owner_acronym,sum_effective_value
dnd,21389320.28
ircc,7686217.82
ssc,7240286.50
cbsa,6347244.47
ec,5301133.74
ic,3754986.67
tc,2870569.14
pspc,2141763.97
tbs,1952450.80
esdc,1623801.18
just,1499195.89
pptc,1075473.02
rcmp,835380.75
osfi,663753.39
gac,422228.03
dfo,363726.44
fin,310104.75
csps,244321.89
csa,230947.50
stats,222258.78
ps,200813.12
hc,199470.55
agr,181610.77
elections,167905.67
vac,161664.84
cnsc,152373.37
ppsc,138866.00
lac,134526.00
infra,113000.57
pco,105929.87
atssc,72003.60
nrcan,67800.00
psc,61749.33
pch,31500.00
phac,29984.55
nrc,29118.00
cfia,23100.00
fintrac,22600.00
fcac,18588.50
