owner_acronym,total_entries,total_contracts,total_amendments
dnd,112,94,18
rcmp,92,90,2
esdc,80,78,2
stats,67,66,1
ssc,54,32,22
cra,48,36,12
gac,47,44,3
ps,43,41,2
ircc,37,34,3
tbs,36,24,12
cfia,33,31,2
nrc,32,30,2
ic,32,26,6
hc,31,25,6
pspc,31,29,2
phac,29,23,6
ec,29,24,5
dfo,26,20,6
fin,25,16,9
pc,25,21,4
just,22,21,1
nrcan,22,21,1
csc,21,19,2
pco,15,13,2
tc,15,12,3
acoa,14,11,3
cnsc,12,9,3
cbsa,11,8,3
lac,10,10,0
neb,9,7,2
csa,9,8,1
cihr,8,7,1
agr,8,7,1
fintrac,8,8,0
ced,7,7,0
fcac,7,6,1
atssc,6,6,0
psc,6,6,0
pch,6,3,3
osfi,5,4,1
pptc,5,5,0
inac,4,4,0
oag,4,4,0
elections,4,3,1
vac,3,3,0
infra,3,3,0
fja,3,3,0
csps,3,3,0
tsb,3,3,0
mgerc,3,3,0
ocol,2,2,0
osgg,2,2,0
cta,2,2,0
sirc,1,1,0
nserc,1,1,0
crtc,1,1,0
cgc,1,1,0
