owner_acronym,sum_effective_value
ssc,748724545.33
esdc,279224200.14
dnd,52139273.53
cra,33112992.93
stats,26664915.17
gac,19643099.55
rcmp,19613070.69
ps,9807710.36
pspc,7829157.20
just,7708123.14
dfo,7699721.72
tbs,7195826.17
ec,6233718.49
phac,5891867.60
pc,5445847.74
agr,4561705.86
lac,4524891.39
cfia,4252361.59
pco,4066661.26
ic,4042646.92
csc,3815339.41
hc,3488187.37
fin,3475356.98
nrc,3385986.86
acoa,3350549.60
tc,3134411.13
ircc,3101632.44
pch,2611891.85
fintrac,1795727.87
elections,1638573.54
cbsa,1403033.71
nrcan,1264888.85
osfi,1121120.27
oag,965331.15
csa,679807.64
infra,610455.74
cnsc,440033.11
cihr,430714.97
pptc,348870.38
psc,260258.63
neb,238965.36
csps,179445.06
fcac,165334.72
atssc,134289.07
ced,73481.26
tsb,59236.89
vac,56470.90
ocol,44909.30
fja,44682.13
mgerc,42235.08
cgc,34533.13
crtc,19508.42
osgg,15181.38
sirc,9478.51
