source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2008,356,165,62,129,2826894.24,1531781.05,14270451.41
2009,482,205,63,214,3116519.56,1556438.36,35229557.22
2010,353,136,31,186,2269717.68,768732.76,39594663.98
2011,343,114,52,177,1851978.10,1289535.04,406871763.57
2012,194,80,22,92,1383434.79,545538.77,38627211.65
2013,181,65,27,89,1097804.19,669095.72,43257843.50
2014,166,53,18,95,876588.45,446758.88,29204619.91
2015,175,59,35,81,1031168.67,868598.67,48075929.33
2016,186,55,28,103,948098.54,695838.97,45343933.98
2017,211,62,53,96,1103604.04,1313409.86,26224042.63
