source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,356,225,131,4308065.29,14321061.41
2009,482,264,218,4571676.55,35330838.59
2010,353,161,192,2885317.47,39747796.95
2011,343,154,189,2838066.45,407175210.26
2012,194,101,93,1903463.81,38652721.40
2013,181,90,91,1715960.80,43308782.61
2014,166,71,95,1323347.33,29204619.91
2015,175,89,86,1773616.46,48202080.21
2016,186,82,104,1618937.51,45368933.98
2017,211,110,101,2291588.95,26349467.58
