gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,444,310,134
SOFTCHOICE,144,141,3
MINDWIRE SYSTEMS,139,57,82
ALTIS HUMAN RESOURCES,135,105,30
EMERION,134,55,79
MODIS CANADA,121,56,65
CORADIX TECHNOLOGY CONSULTING,115,58,57
NORTHERN MICRO,105,104,1
KNOWLEDGE CIRCLE LEARNING SERVICES,104,88,16
IBM CANADA,96,69,27
VERITAAQ TECHNOLOGY HOUSE,96,52,44
ACME FUTURE SECURITY CONTROLS,93,86,7
CANADIAN CORPS OF COMMISSIONAIRES,91,83,8
GRAYBRIDGE INTERNATIONAL CONSULTING,84,78,6
CANON,78,67,11
TELECOM COMPUTER SERVICES,76,74,2
DELL COMPUTER,75,72,3
3005526 CANADA,73,71,2
DELOITTE AND TOUCHE,72,55,17
ASOKAN BUSINESS INTERIORS,70,69,1
KPMG,68,60,8
THE AIM GROUP,68,50,18
PRICEWATERHOUSE COOPERS,61,44,17
EBSCO CANADA,58,57,1
ARTEMP PERSONNEL SERVICES,58,45,13
SYSTEMSCOPE,56,40,16
ROHDE SCHWARZ CANADA,56,55,1
COMPUTER MEDIA GROUP THE,56,56,0
HAWORTH,55,50,5
ADVANCED BUSINESS INTERIORS,55,52,3
SNC LAVALIN,53,51,2
BELL CANADA,52,42,10
COPEM CONSULTING,51,44,7
TERAMACH TECHNOLOGIES,51,50,1
SI SYSTEMS,50,29,21
AVI SPL CANADA,50,49,1
FORD MOTOR COMPAMY,49,46,3
GRAND TOY,49,42,7
CONFERENCE BOARD OF CANADA THE,48,45,3
MACKINNON CHARLTON,48,45,3
LEVERAGE TECHNOLOGY RESOURCES,47,23,24
IHS GLOBAL,46,44,2
TOTEM OFFISOURCE,45,44,1
INTEGRA NETWORKS,44,37,7
AGILENT,44,43,1
ANIXTER CANADA,43,40,3
GARTNER,43,43,0
ORACLE CANADA,42,39,3
ACOLE DE LANGUES LA CITA,42,38,4
TEKNION,41,41,0
TESTFORCE SYSTEMS,41,41,0
APOSTROPHE,41,37,4
GROUPE CONSEIL BAASTEL LTAE LE,40,33,7
OPENTEXT,40,38,2
SHARP ELECTRONICS,39,33,6
RANDSTAD,39,32,7
STEELCASE CANADA,36,36,0
PITNEY BOWES,36,36,0
BARBARA PERSONNEL,35,30,5
FIRST CLASS LANGUAGE TRAINING,35,30,5
DYNAMIC PERSONNEL CONSULTANTS,35,28,7
NISHA TECHONOLOGIES,34,34,0
SYSTEMATIX SOLUTIONS,34,26,8
3852946 CANADA,34,32,2
LABOR TEK PERSONNEL SERVICES,33,27,6
QUANTUM MANAGEMENT SERVICES,33,30,3
MEDIA Q,33,29,4
ACTION PERSONNEL SERVICES OF,33,26,7
INTERFAX SYSTEMS,32,30,2
ASSOCIATES GROUP OF COMPANIES,32,27,5
CDW CANADA,32,32,0
MICROSOFT CANADA,32,26,6
ERNST YOUNG,31,23,8
BROOKFIELD ASSET MANAGEMENT,31,31,0
THOMSON REUTERS CANADA,31,30,1
ITEX,30,30,0
ADIRONDACK TECHNOLOGIES,30,28,2
