source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,1687,1138,549,19823861.00,61224142.00
2009,1565,1039,526,17784211.00,53793142.00
2010,1380,920,460,15912982.00,63017613.00
2011,1261,820,441,14090476.00,48534009.00
2012,1084,702,382,12344556.00,41339065.00
2013,1120,664,456,11804929.00,51094730.00
2014,1008,630,378,11091436.00,43509969.00
2015,1047,640,407,11541905.00,45663847.00
2016,1069,590,479,10633543.36,59921149.42
2017,1233,693,540,12978174.90,110578017.72
