source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2008,439,249,190,4305382.34,32846907.05
2009,620,344,276,6037787.14,75857645.46
2010,632,353,279,6036305.26,52283556.62
2011,463,225,238,3808589.67,106743733.60
2012,241,110,131,1792578.51,23964442.78
2013,399,194,205,3337296.37,33909205.79
2014,284,144,140,2322871.80,39240838.52
2015,395,219,176,3726929.16,50262699.97
2016,272,138,134,2467477.72,52171338.50
2017,245,119,126,2074484.26,24931403.58
