gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
49 SOLUTIONS,2016,2,1,1
49 SOLUTIONS,2017,2,0,2
ABI ADVANCED BUSINESS INTERIORS,2017,7,7,0
ASAP REPORTING SERVICES,2016,2,2,0
ASAP REPORTING SERVICES,2017,3,2,1
ASOKAN BUSINESS INTERIORS,2016,1,1,0
ASOKAN BUSINESS INTERIORS,2017,3,3,0
CGI,2016,1,1,0
CGI,2017,4,2,2
CISTEL TECHNOLOGY,2016,2,1,1
CISTEL TECHNOLOGY,2017,6,1,5
CONEXSYS,2016,2,2,0
CONEXSYS,2017,3,3,0
EXCEL HUMAN RESOURCES,2016,2,2,0
EXCEL HUMAN RESOURCES,2017,2,2,0
ITEX,2016,2,2,0
ITEX,2017,3,3,0
MICROSOFT CANADA,2017,6,6,0
