source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2015,22,10,3,9,127989.15,73877.15,1724290.13
2016,37,17,4,16,313906.66,99402.80,1350613.85
2017,55,28,3,24,497254.80,74666.08,1650052.92
